name;cite
Air Albania;http://airalbania.com.al/
Air France;http://www.airfrance.com/
Lufthansa;https://lufthansa.com/
Aeroflot;https://www.aeroflot.com/
Yamal Airlines;http://www.yamal.aero/
S7 Airlines;https://www.s7.ru/en/
British Airways;https://britishairways.com/
El Al;http://www.elal.com/
Qatar Airways;https://qatarairways.com/
Emirates;https://www.emirates.com/
Air Canada;http://www.aircanada.com/
United Airlines;https://www.united.com/
American Airlines;http://www.aa.com/
FlyEgypt;http://flyegypt.com/
Air China;http://www.airchina.com/
